Date,Regular unleaded gasoline at self service filling stations / Essence régulière sans plomb aux stations libre service,Premium unleaded gasoline at self service filling stations / Essence super sans plomb dans les stations libre service,Diesel fuel at self service filling stations / Carburant diesel aux stations libre service,Household heating fuel / Combustible de chauffage domestique
12/01/1992,55.3,61.8,,38.7
01/01/1993,54.6,61.1,,38.7
02/01/1993,54.5,61,,38.7
03/01/1993,54.5,61,,38.7
04/01/1993,54.4,60.9,,38.7
05/01/1993,54.7,61.6,,38.7
06/01/1993,54.8,58.7,,38.7
07/01/1993,55.7,63.3,,38.7
08/01/1993,55.5,63,,38.7
09/01/1993,55.3,63.1,,38.7
10/01/1993,54.5,62.5,,38.7
11/01/1993,54.5,62.5,,38.7
12/01/1993,53.9,61.7,,38.7
01/01/1994,50.3,58.3,,38.7
02/01/1994,50.3,58.3,,38.7
03/01/1994,50.3,58.3,,38.7
04/01/1994,50.6,58.6,,35.3
05/01/1994,54.9,62.9,,35.3
06/01/1994,54.9,62.9,,35.3
07/01/1994,54.9,62.9,,35.3
08/01/1994,54.9,62.9,,35.3
09/01/1994,55.9,63.9,,35.9
10/01/1994,55.9,63.9,,35.3
11/01/1994,55.9,63.9,,35.3
12/01/1994,54.7,62.7,,35.3
01/01/1995,53.9,61.9,,34.8
02/01/1995,53.9,61.9,,35.3
03/01/1995,55.8,63.8,,35.3
04/01/1995,55.7,63.7,,35.3
05/01/1995,59,67.6,,35.3
06/01/1995,59,67.6,,35.3
07/01/1995,59,67.6,,35.3
08/01/1995,57.6,66,,35.3
09/01/1995,54.9,63.3,,35.3
10/01/1995,54.4,62.8,,34.9
11/01/1995,53.9,61.9,,34.9
12/01/1995,55.1,63.2,,34.9
01/01/1996,53.5,61.7,,37.8
02/01/1996,50.7,58.7,,38.5
03/01/1996,51.9,59.9,,40.3
04/01/1996,54.9,62.9,,40.6
05/01/1996,56.4,64.4,,40.6
06/01/1996,55.6,63.6,,40.6
07/01/1996,52.7,59.1,,40.6
08/01/1996,56.5,62.9,,40.6
09/01/1996,55.4,62.2,,41
10/01/1996,57.5,64.5,,45.4
11/01/1996,58.7,65.1,,47
12/01/1996,57.9,64.3,,47
01/01/1997,58.5,60.1,,47.3
02/01/1997,58.8,60.5,,47.3
03/01/1997,58.7,60.5,,45.2
04/01/1997,62.8,64.7,,46.3
05/01/1997,60.9,62.6,,46.3
06/01/1997,58.8,60.6,,46.3
07/01/1997,58.7,60.6,,46.3
08/01/1997,58.7,60.7,,46.3
09/01/1997,65.7,67.6,,46.3
10/01/1997,61.2,62.7,,46.3
11/01/1997,59.7,61.2,,46.3
12/01/1997,59.6,61.2,,46.3
01/01/1998,59.6,66.4,,46.3
02/01/1998,58.4,65.2,,44
03/01/1998,56.1,62.9,,44
04/01/1998,52.4,59.2,,42.9
05/01/1998,54.9,61.7,,42.9
06/01/1998,54.6,61.4,,42.9
07/01/1998,54.3,61.1,,42.9
08/01/1998,52.7,59.5,,42.9
09/01/1998,53,60.1,,36
10/01/1998,56.9,64,,37.9
11/01/1998,56.7,63.8,,37.9
12/01/1998,54.6,62.3,,37.9
01/01/1999,49.6,57.4,,37.7
02/01/1999,50.9,58.6,,35.3
03/01/1999,50.2,57.8,,35.3
04/01/1999,57.8,65.2,,38.8
05/01/1999,58.9,66.3,,38.8
06/01/1999,59.3,66.1,,38.8
07/01/1999,60.3,67.4,,38.8
08/01/1999,64.3,71.4,,44.1
09/01/1999,65,72.1,,43.8
10/01/1999,64.2,71.3,,45.7
11/01/1999,62.7,69.8,,45.4
12/01/1999,66.6,73.5,,48.4
01/01/2000,63.8,70.6,,49.9
02/01/2000,68.6,75.4,,63
03/01/2000,73.6,80.7,,63.1
04/01/2000,71.1,78,,58.2
05/01/2000,71.7,78.8,,56.2
